Year,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)",Population ages 65 and above (% of total population),CO2 emissions (metric tons per capita)
1986,Central Europe and the Baltics,CEB,,2.137672004,70.56513604,,10.2691245,11.26422926
1986,East Asia & Pacific,EAS,,2.803053509,68.1722705,,5.422076618,2.389975906
1986,Europe & Central Asia,ECS,,2.097180276,71.64146652,,11.02423071,13.0495275
1986,Latin America & Caribbean,LCN,,3.593975858,66.88588475,,4.579130219,2.259473231
1986,Middle East & North Africa,MEA,,5.635926404,62.48808187,,3.61859542,3.635489829
1986,North America,NAC,,1.821078366,74.80137957,,12.07249752,18.40976328
1986,Sub-Saharan Africa,SSF,,6.589270334,50.03047594,,3.017738126,1.063437184
1986,World,WLD,,3.499524247,64.57949518,,5.975742037,4.412252113
1987,Australia,AUS,,1.845,76.15170732,10.6,10.54506139,15.7469578
1987,Caribbean small states,CSS,,3.072191921,69.54871511,,6.053856041,4.960398791
1987,Central African Republic,CAF,,5.897,49.797,176.2,4.056346436,0.098365369
1987,Central Europe and the Baltics,CEB,,2.096933281,70.61176333,,10.43908918,11.52667688
1987,East Asia & Pacific,EAS,,2.759248059,68.40952569,,5.494312942,2.466916006
1987,Europe & Central Asia,ECS,,2.091578044,71.85869386,,11.1253396,13.05208545
1987,Latin America & Caribbean,LCN,,3.502926188,67.24680017,,4.634359775,2.326050894
1987,Middle East & North Africa,MEA,,5.464518578,63.38292809,,3.642564973,3.574115435
1987,North America,NAC,,1.852529712,74.9581156,,12.19116423,19.05465847
1987,Sub-Saharan Africa,SSF,,6.53630357,50.15150429,,3.023606854,1.017428973
1987,World,WLD,,3.455160571,64.83055625,,6.016040262,4.461922924
1988,Australia,AUS,,1.831,76.43268293,10.2,10.7255206,15.79616778
1988,Caribbean small states,CSS,,2.995522249,69.76319261,,6.108724265,4.577757269
1988,Central African Republic,CAF,,5.876,49.624,176,4.029921606,0.085754725
1988,Central Europe and the Baltics,CEB,,2.077648878,70.86170823,,10.65925514,11.09202083
1988,East Asia & Pacific,EAS,,2.692588827,68.5815835,,5.562826778,2.62793287
1988,Europe & Central Asia,ECS,,2.061666638,71.98607775,,11.26802163,13.08720651
1988,Latin America & Caribbean,LCN,,3.416402687,67.60393914,,4.691767691,2.33588509
1988,Middle East & North Africa,MEA,,5.276068943,64.21949408,,3.67267352,3.704380406
1988,North America,NAC,,1.908162066,74.97854162,,12.30353831,19.71911525
1988,Sub-Saharan Africa,SSF,,6.478419135,50.21606218,,3.025199857,1.052638817
1988,World,WLD,,3.398938314,65.03449926,,6.060381731,4.565402665
1989,Australia,AUS,,1.838,76.71365854,9.7,10.89919947,16.51986292
1989,Caribbean small states,CSS,,2.926206924,69.98419355,,6.179557403,5.011604605
1989,Central African Republic,CAF,,5.847,49.397,176.4,3.996017094,0.090815756
1989,Central Europe and the Baltics,CEB,,2.017746181,70.73197226,,10.87979833,10.76396187
